Sentence,Word,POS,Tag
Sentence: 1,Inn,IN,O
,sabko,IN,O
,rokna,IN,O
,kiski,IN,O
,zimedaari,IN,O
,thi?,IN,O
,Nawaz,IN,B-per
,aur,IN,O
,zardari,IN,B-per
,ki,IN,O
,.,IN,O
,Kia,IN,O
,koi,IN,O
,kaam?,IN,O
,
Sentence: 2,Bawarchi,IN,O
,ke,IN,O
,is,IN,O
,jurm,IN,O
,par,IN,O
,muqami,IN,O
,adalat,IN,O
,nay,IN,O
,mulzim,IN,O
,ko,IN,O
,6,IN,O
,mah,IN,O
,ki,IN,O
,qaid,IN,O
,ki,IN,O
,saza,IN,O
,sunanay,IN,O
,ke,IN,O
,ilawa,IN,O
,6,IN,O
,.,IN,O
,5,IN,O
,lakh,IN,O
,Dirham,IN,O
,ka,IN,O
,jurmana,IN,O
,aur,IN,O
,mulk,IN,O
,se,IN,O
,bedakhil,IN,O
,karne,IN,O
,ka,IN,O
,elaan,IN,O
,kiya,IN,O
,hai,IN,O
,.,IN,O
,
Sentence: 3,ab,IN,O
,muhjay,IN,O
,aj,IN,O
,market,IN,O
,jana,IN,O
,hia,IN,O
,chacha,IN,O
,k,IN,O
,sath,IN,O
,aur,IN,O
,market,IN,O
,janay,IN,O
,k,IN,O
,liye,IN,O
,mere,IN,O
,pas,IN,O
,bike,IN,O
,b,IN,O
,nahi,IN,O
,hai,IN,O
,
Sentence: 4,Birthday,IN,O
,of,IN,O
,Aussies,IN,O
,magical,IN,O
,leg,IN,O
,Spinner,IN,O
,Shane,IN,B-per
,warne,IN,I-per
,He,IN,O
,was,IN,O
,the,IN,O
,Second,IN,O
,highest,IN,O
,wicket,IN,O
,taker,IN,O
,in,IN,O
,Test,IN,O
,cricket,IN,O
,with,IN,O
,708,IN,O
,scalps,IN,O
,
Sentence: 5,youtube,IN,O
,py,IN,O
,chk,IN,O
,kr,IN,O
,ly,IN,O
,
Sentence: 6,salam,IN,O
,ia,IN,O
,maha,IN,B-per
,hussain,IN,I-per
,from,IN,O
,karachi,IN,B-loc
,app,IN,O
,pizzabana,IN,O
,sikhadain,IN,O
,app,IN,O
,show,IN,O
,acha,IN,O
,hai,IN,O
,
Sentence: 7,pak,IN,B-org
,foj,IN,I-org
,ko,IN,O
,salam,IN,O
,umpire,IN,O
,k,IN,O
,ungli,IN,O
,uth,IN,O
,gai,IN,O
,
Sentence: 8,do,IN,O
,haftay,IN,O
,qabal,IN,O
,Iraq,IN,B-loc
,mein,IN,O
,hukoomat,IN,O
,ke,IN,O
,khilaaf,IN,O
,hue,IN,O
,ehtajaji,IN,O
,muzahiron,IN,O
,ke,IN,O
,douran,IN,O
,tashadud,IN,O
,ke,IN,O
,nateejay,IN,O
,mein,IN,O
,157,IN,O
,afraad,IN,O
,halaak,IN,O
,aur,IN,O
,senkron,IN,O
,afraad,IN,O
,zakhmi,IN,O
,ho,IN,O
